Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.3.212-192.168.3.1-9106-53-6,192.168.3.212,9106,192.168.3.1,53,6,12/11/2023 02:06:50 下午,17981,4,5,31.0,856.0,29.0,0.0,7.75,14.198004554631376,856.0,0.0,171.2,382.814837747964,49329.84817307157,500.5283354652133,2247.6249999999995,3833.3402792380134,10807.0,0.0,2741.0,913.6666666666667,1505.4475525016915,2652.0,40.0,15368.0,3841.9999999999995,5116.968959582746,10807.0,0.0,0,0,0,0,92,112,222.45703798453923,278.07129748067405,0.0,856.0,88.7,269.75381780842736,72767.12222222221,1,2,0,3,8,0,0,0,1.0,98.55555555555556,7.75,171.2,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9104-53-6,192.168.3.212,9104,192.168.3.1,53,6,12/11/2023 02:06:50 下午,22778,5,5,33.0,118.0,31.0,0.0,6.6,13.66747965061591,118.0,0.0,23.6,52.771204268995035,6629.203617525683,439.0201071209061,2530.8888888888887,4878.387091151246,14987.0,46.0,21149.0,5287.25,9566.738851353684,19603.0,46.0,21378.0,5344.5,6673.593260006187,14987.0,128.0,0,0,0,0,112,112,219.51005356045306,219.51005356045306,0.0,118.0,13.727272727272728,35.79969527549336,1281.618181818182,2,2,0,3,9,0,0,0,1.0,15.1,6.6,23.6,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9105-53-6,192.168.3.212,9105,192.168.3.1,53,6,12/11/2023 02:06:50 下午,30686,5,5,33.0,153.0,31.0,0.0,6.6,13.66747965061591,153.0,0.0,30.6,68.42368011149357,6061.396076386625,325.8815094831519,3409.5555555555557,6542.4699867693525,20276.0,0.0,26727.0,6681.75,11789.015264926358,24290.0,43.0,28387.0,7096.749999999999,11574.99340172598,24235.0,0.0,0,0,0,0,112,112,162.94075474157594,162.94075474157594,0.0,153.0,16.90909090909091,46.0748403045622,2122.890909090909,2,2,0,3,9,0,0,0,1.0,18.6,6.6,30.6,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9107-53-6,192.168.3.212,9107,192.168.3.1,53,6,12/11/2023 02:06:50 下午,32226,5,5,31.0,101.0,29.0,0.0,6.2,12.774975538137047,101.0,0.0,20.2,45.16857314549575,4096.071495066096,310.30844659591634,3580.666666666666,6017.861476471521,18397.0,0.0,26096.0,6524.0,10893.908848526318,22701.0,42.0,28978.0,7244.499999999999,11711.162894150748,24527.0,0.0,0,0,0,0,112,112,155.15422329795817,155.15422329795817,0.0,101.0,12.0,30.760364107077798,946.2,2,2,0,3,9,0,0,0,1.0,13.2,6.2,20.2,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9119-53-6,192.168.3.212,9119,192.168.3.1,53,6,12/11/2023 02:06:55 下午,27076,5,5,31.0,139.0,29.0,0.0,6.2,12.774975538137047,139.0,0.0,27.8,62.162689774494154,6278.623134879598,369.3307726399764,3008.444444444445,6518.59918063519,20265.0,94.0,26122.0,6530.5,9690.316283107928,20587.0,94.0,6811.0,1702.75,756.3047776304646,2353.0,882.0,0,0,0,0,112,112,184.6653863199882,184.6653863199882,0.0,139.0,15.454545454545455,41.879263690670676,1753.8727272727272,2,2,0,3,9,0,0,0,1.0,17.0,6.2,27.8,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9120-53-6,192.168.3.212,9120,192.168.3.1,53,6,12/11/2023 02:06:55 下午,34944,6,4,31.0,136.0,29.0,0.0,5.166666666666667,11.703275894665845,136.0,0.0,34.0,68.0,4779.075091575091,286.17216117216117,3882.6666666666665,6827.774912077873,20017.0,0.0,34944.0,6988.8,9496.009909430382,20445.0,41.0,14862.0,4954.0,5029.111551755439,10055.0,0.0,0,0,0,0,132,92,171.7032967032967,114.46886446886445,0.0,136.0,15.181818181818182,40.99467814684775,1680.5636363636363,1,2,1,3,9,0,0,0,0.0,16.7,5.166666666666667,34.0,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-220.185.184.16-9096-443-6,192.168.3.212,9096,220.185.184.16,443,6,12/11/2023 02:06:50 下午,10036081,4,6,916.0,284.0,836.0,0.0,229.0,406.4201438577243,260.0,0.0,47.33333333333333,104.626319187223,119.56858458994104,0.996404871582842,1115120.111111111,3326003.607249414,9984438.0,0.0,35511.0,11837.0,10059.544920124368,17899.0,225.0,1.001877E7,2003754.0,4461345.201899814,9984438.0,0.0,0,0,0,0,92,132,0.3985619486331368,0.5978429229497052,0.0,836.0,109.09090909090908,253.48824609652198,64256.290909090894,1,2,0,4,9,0,0,0,1.0,120.0,229.0,47.333333333333336,0,0,0,0,0,0,4,916,6,284,64240,3,2,20,51643.0,0.0,51643.0,51643.0,9984438.0,0.0,9984438.0,9984438.0,NeedManualLabel
192.168.3.212-220.185.184.16-9097-443-6,192.168.3.212,9097,220.185.184.16,443,6,12/11/2023 02:06:50 下午,10036303,4,6,884.0,284.0,804.0,0.0,221.0,390.49199735718014,260.0,0.0,47.33333333333333,104.626319187223,116.37751470835425,0.9963828314071427,1115144.7777777778,3325320.0485932846,9982638.0,0.0,36470.0,12156.666666666666,10365.430832017226,18523.0,196.0,1.0018607E7,2003721.4,4460357.738507283,9982638.0,0.0,0,0,0,0,92,132,0.39855313256285707,0.5978296988442856,0.0,804.0,106.18181818181819,244.33003015667893,59697.163636363635,1,2,0,4,9,0,0,0,1.0,116.8,221.0,47.333333333333336,0,0,0,0,0,0,4,884,6,284,64240,3,2,20,53665.0,0.0,53665.0,53665.0,9982638.0,0.0,9982638.0,9982638.0,NeedManualLabel
192.168.3.212-192.168.3.1-9135-53-6,192.168.3.212,9135,192.168.3.1,53,6,12/11/2023 02:07:08 下午,25547,5,5,30.0,157.0,28.0,0.0,6.0,12.328828005937952,157.0,0.0,31.4,70.2125344934934,7319.84186010099,391.43539358828826,2838.555555555556,6909.456511027316,21185.0,52.0,25172.0,6293.0,11241.923056132346,23113.0,92.0,23927.0,5981.75,10172.408183414584,21185.0,52.0,0,0,0,0,112,112,195.71769679414413,195.71769679414413,0.0,157.0,17.0,47.178384881214406,2225.8,2,2,0,3,9,0,0,0,1.0,18.7,6.0,31.4,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.3.212-192.168.3.1-9136-53-6,192.168.3.212,9136,192.168.3.1,53,6,12/11/2023 02:07:08 下午,34218,4,5,30.0,168.0,28.0,0.0,7.5,13.69914839202301,168.0,0.0,33.6,75.13188404399294,5786.428195686481,263.0194634402946,4277.25,10317.219513996975,29711.0,0.0,2517.0,839.0,1278.5824181491,2315.0,72.0,32004.0,8001.0,14511.46996918874,29711.0,0.0,0,0,0,0,92,112,116.8975393067976,146.121924133497,0.0,168.0,19.8,52.801094264755115,2787.9555555555553,1,2,0,3,8,0,0,0,1.0,22.0,7.5,33.6,0,0,0,0,0,0,0,0,0,0,64240,913,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
